idx,pos,bx0,by0,bx1,by1,x_ratio,gap
1,top,25,13,32,30,0.5,3
2,top,25,12,32,29,0.5,3
3,top,26,12,33,29,0.357,3
4,bottom,24,12,31,25,-0.071,-1
5,top,20,12,31,29,-0.045,-10
6,merged,16,14,32,31,,
7,merged,16,14,32,31,,
8,top,15,13,32,31,0.618,2
9,merged,16,13,33,31,,
10,top,16,13,32,30,0.781,4
11,bottom,16,13,32,22,0.469,2
12,bottom,15,13,31,26,0.531,-1
13,bottom,16,13,32,26,0.562,-1
14,bottom,23,13,31,26,0.0,-1
15,bottom,24,13,32,26,0.0,-1
16,bottom,17,13,33,30,0.75,-2
17,merged,16,13,32,30,,
18,bottom,16,13,33,30,0.294,-3
19,top,16,14,32,31,0.781,4
20,bottom,16,13,29,30,0.615,-4
21,bottom,14,13,30,23,0.594,1
22,merged,20,13,25,29,,
23,top,16,13,32,30,0.781,3
24,top,16,13,32,30,0.781,3
25,bottom,16,13,32,24,0.531,0
26,top,16,14,32,28,0.375,1
27,top,16,15,32,28,1.031,0
28,bottom,17,14,28,20,0.545,3
29,top,17,12,30,29,0.885,3
30,top,25,12,31,29,0.583,3
31,bottom,15,15,23,22,1.125,2
32,top,21,12,32,29,-0.136,-9
33,bottom,15,13,31,29,0.781,-2
34,bottom,16,14,26,20,0.6,3
35,top,16,21,32,30,0.781,11
36,top,16,15,24,24,1.0,3
37,top,24,12,31,29,0.5,3
38,bottom,25,12,32,25,-0.143,-1
39,top,21,12,30,29,-0.056,-9
40,top,26,12,33,30,0.357,2
41,bottom,16,13,32,26,0.531,-1
42,bottom,17,13,30,26,0.654,-2
43,bottom,16,15,26,22,1.15,-9
44,top,25,12,28,30,0.833,2
45,merged,16,8,32,26,,
46,top,25,12,32,30,0.5,3
47,top,24,13,31,30,0.643,3
48,top,24,13,32,30,0.562,3
49,merged,16,13,32,30,,
50,top,16,13,29,30,0.962,3
51,bottom,16,13,28,30,0.5,-4
52,merged,17,13,30,30,,
53,bottom,15,14,32,30,1.0,-1
54,top,11,14,27,29,0.5,2
